"Unidade da Federação";"2001";"2002";"2003";"2004";"2005";"2006";"2007";"2008";"2009";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";"2020";" Total"
"29 Bahia";"81,56";"76,22";"72,90";"95,00";"81,47";"80,39";"78,42";"74,57";"76,77";"75,80";"84,73";"77,33";"72,29";"83,78";"93,06";"44,35";"65,14";"65,37";"65,14";"59,95";"75,59"
"31 Minas Gerais";"90,28";"75,07";"69,40";"80,03";"77,68";"76,92";"77,31";"74,74";"78,04";"80,85";"87,40";"82,73";"80,04";"90,21";"100,33";"57,58";"76,28";"84,74";"77,86";"76,91";"78,84"
"32 Espírito Santo";"80,75";"78,05";"77,65";"83,30";"78,62";"77,39";"76,60";"75,19";"75,93";"74,74";"88,35";"79,71";"72,30";"90,98";"98,39";"51,19";"73,30";"80,98";"75,32";"74,48";"77,32"
"33 Rio de Janeiro";"75,02";"74,66";"71,50";"77,47";"75,27";"71,88";"71,89";"69,15";"71,36";"67,48";"83,91";"73,71";"68,11";"84,08";"96,14";"47,98";"77,31";"72,67";"61,19";"46,66";"71,30"
"35 São Paulo";"76,51";"73,30";"71,29";"76,36";"72,45";"71,61";"70,92";"70,30";"72,49";"70,36";"84,96";"77,28";"73,37";"88,20";"98,63";"45,94";"73,03";"78,80";"74,50";"70,13";"73,34"
"41 Paraná";"81,01";"77,26";"73,48";"83,10";"73,68";"74,62";"76,87";"73,64";"76,66";"75,22";"89,97";"79,48";"77,59";"86,95";"96,41";"55,32";"79,78";"82,41";"82,87";"77,15";"77,69"
"42 Santa Catarina";"78,11";"74,59";"73,68";"76,04";"74,04";"73,09";"73,51";"72,19";"74,86";"74,19";"88,07";"78,79";"72,94";"91,81";"100,69";"58,88";"79,42";"84,46";"83,98";"81,65";"77,20"
"43 Rio Grande do Sul";"75,60";"74,07";"71,71";"74,42";"70,25";"69,27";"68,75";"67,62";"69,20";"67,22";"81,99";"72,95";"73,47";"84,15";"87,69";"53,86";"73,51";"78,27";"79,46";"76,88";"72,42"
"50 Mato Grosso do Sul";"88,66";"80,84";"77,14";"78,08";"75,05";"76,70";"78,40";"74,90";"78,53";"75,77";"89,37";"83,46";"81,81";"110,11";"113,07";"63,55";"85,80";"94,40";"90,84";"72,84";"82,35"
"51 Mato Grosso";"85,97";"81,93";"77,24";"85,23";"81,56";"79,43";"82,68";"78,13";"79,39";"73,54";"87,40";"81,37";"75,04";"92,61";"100,32";"58,32";"76,56";"80,78";"78,28";"74,42";"79,83"
"52 Goiás";"83,87";"82,66";"79,45";"95,30";"81,92";"81,86";"84,69";"80,21";"80,41";"76,25";"96,24";"82,52";"79,36";"86,63";"93,55";"53,60";"72,20";"76,79";"71,93";"69,82";"79,93"
"53 Distrito Federal";"71,77";"69,15";"70,10";"124,23";"112,52";"114,73";"117,55";"115,82";"137,02";"110,68";"67,70";"64,84";"85,83";"89,33";"71,55";"75,28";"74,89";"82,22";"79,12";"75,88";"88,19"
"Total";"79,85";"76,09";"72,97";"82,79";"77,04";"76,12";"76,94";"74,32";"76,52";"74,66";"85,31";"77,32";"73,29";"86,31";"95,07";"50,44";"72,93";"77,13";"73,44";"66,62";"75,72"
